Candidat	Frequence	Label
Sacratorium AURORA Monde	1	MISC
AURORA Monde	1	ORG
D'aucuns	1	UNK
Terra On	1	UNK
Sœurs Que	1	UNK
Aurora C'est	1	UNK
Seldon Si le Livre	1	MISC
Tabou A	1	UNK
Livre D'une	1	UNK
Ridicule Hari Imaginez	1	UNK
Laissez-moi Je	1	UNK
Hari Ce	1	LOC
Sacratorium C'est	1	UNK
Sacratorium Ils	1	UNK
N'étant	1	UNK
Superbe	1	UNK
Seldon Resplendissant	1	MISC
Seldon Le Mycogénien	1	MISC
Soixante-sept	1	UNK
Seuls	1	UNK
Vigoureux	1	UNK
Filles	1	UNK
L'esprit	1	UNK
Ancien du Sacratorium Et	1	UNK
Sacratorium Il	1	UNK
Invasion	1	UNK
Seldon L'Ancien	1	MISC
L'Ancien	1	MISC
Empêchez-moi	1	UNK
Hari Elle	1	LOC
J'attendrai	1	UNK
Prenez-moi	1	UNK
Hari J'avais	1	MISC
L'obi de Hari	1	LOC
Livre Le Livre Vous	1	UNK
Livre Vous	1	UNK
Aire ROBOT Terme	1	LOC
ROBOT Terme	1	MISC
Terme	1	UNK
ENCYCLOPAEDIA GALACTICA Ils	1	ORG
GALACTICA Ils	1	LOC
Seldon Voici	1	MISC
Encyclopédie	1	UNK
SACR TORIUM	1	MISC
TORIUM	1	MISC
SACRATORIUM	1	MISC
Notez-le Dors	1	UNK
L'enregistrement	1	UNK
Bendar	1	LOC
Vérifions	1	MISC
Mine	1	UNK
Seldon Oui	1	MISC
Anciens Seldon	1	MISC
Sacratorium Vous	1	UNK
Seldon Notre	1	LOC
Restons	1	UNK
L'auriez-vous	1	UNK
Maître-du-Soleil Quatorze Je	1	UNK
Nombre	1	UNK
Agréable	1	UNK
Anciens J'ignorais	1	UNK
Donnez-vous	1	UNK
Puits	1	LOC
Empereur Jamais L'habitude	1	UNK
L'habitude	1	UNK
L'affaire	1	UNK
J'entends	1	UNK
Ancien Sire Ne	1	UNK
Maire de Kan C'est	1	LOC
Sire Nous	1	MISC
Maître Hummin	1	UNK
Couverture de Streeling	1	LOC
Tisalver Ce	1	UNK
Couverture Il	1	MISC
Chat	1	UNK
Exos Elle	1	UNK
Seldon Où	1	MISC
Tisalver Derrière	1	UNK
Prudent Seldon	1	MISC
Tisalver Un	1	UNK
Seldon Bien	1	LOC
Puisatiers	1	UNK
Seldon A	1	LOC
Tisalver Voilà	1	UNK
Tisalver Nous	1	UNK
J'aimais	1	UNK
Déduction	1	UNK
Trantoriens Quoi	1	LOC
Amaryl Rien Dites-moi	1	UNK
Violents Ils	1	UNK
Galaxie Eux	1	UNK
Descendants	1	UNK
Terre Quand	1	LOC
Aurora Qu'est-ce	1	UNK
Soupir de Seldon J'ai	1	MISC
Terre Hein Un	1	LOC
Jeune	1	UNK
Rittah Elle	1	LOC
Rittah C'est	1	MISC
Billibotton Enfin	1	LOC
S'y	1	UNK
Billibotton DAHL Assez	1	UNK
Billibotton Ces	1	LOC
Streeling Puis	1	LOC
Étiez-vous	1	LOC
Mycogéniens Moi	1	MISC
Billibotton Jetant	1	LOC
Billibotton Je	1	LOC
Maître Seldon Je	1	UNK
Casilia Tu	1	UNK
J'essaierai	1	UNK
Terre C'est	1	LOC
Seldon Évitez	1	MISC
Évitez-le	1	UNK
Tisalver Où	1	UNK
Tisalver Normalement	1	MISC
Seldon Par	1	LOC
Fermez-le	1	UNK
Soupir	1	ORG
Billibotton Vous	1	LOC
Billibottains	1	LOC
J'imaginais	1	UNK
Sais-tu	1	UNK
Nân	1	LOC
Nân Personne	1	MISC
Rittah T'as	1	UNK
Rittah Raych Es-tu	1	UNK
Raych Es-tu	1	MISC
Es-tu	1	UNK
J't'y	1	UNK
Rittah Mère Rittah	1	UNK
Rittah Je	1	MISC
Ba-Lee	1	UNK
Êtesvous	1	UNK
Terre C'était Da-Nee	1	LOC
Da-Nee	1	UNK
Ba-Lee Il	1	UNK
CENTRALE	1	MISC
Avions-nous	1	UNK
Rittah Si	1	LOC
Exos Vous	1	UNK
Marron Un	1	UNK
Silence	1	UNK
Clandestins DAVAN Dans	1	MISC
DAVAN Dans	1	UNK
Premier Empire	1	UNK
Tisalver Ils	1	MISC
Maître Tisalver	1	UNK
Trantorien Plus	1	UNK
Marron Hé	1	MISC
Écoutez	1	UNK
Z'avez	1	UNK
Davan Et	1	LOC
Raych Y	1	MISC
L'aime	1	UNK
Z'ont	1	UNK
J'veux	1	UNK
Tanto	1	ORG
Raych Toujours	1	UNK
Davan Ch'sais	1	MISC
Ch'sais	1	UNK
Raych Je	1	UNK
Z'espérez	1	UNK
Raych L'intéressé	1	UNK
J'vous	1	UNK
Raych D'un	1	UNK
Venabili Il	1	MISC
Davan Vous	1	UNK
Nouveau	1	MISC
Seldon Alors	1	LOC
Davan Appelez-moi Davan	1	UNK
Appelez-moi Davan	1	UNK
Raych J'en	1	MISC
Raych Puis	1	UNK
Davan Montrezvous	1	UNK
M'avez	1	MISC
J'sais	1	UNK
Raych Qu'est-ce	1	UNK
J'me	1	UNK
Z'essayez	1	UNK
Ouvrez-moi Dors Ce	1	MISC
J'essayais	1	UNK
Maire C'est	1	UNK
Maire de Kan Ça	1	MISC
L'obsession	1	UNK
Empereur Et	1	UNK
Droite	1	UNK
Lanel Russ Et	1	UNK
Gebore Astinwald L'un	1	UNK
Cinna Oui	1	MISC
Russ D'après	1	MISC
L'usage	1	UNK
Marron Votre	1	UNK
Dahlites Nous	1	UNK
L'agent Russ	1	MISC
Marron Vous	1	UNK
Comprenez-le	1	UNK
Lâche-la Et	1	UNK
Neutralisez	1	MISC
Galactos Raych	1	UNK
Raych Jamais	1	MISC
Raych Faut	1	UNK
Avait-il	1	UNK
Raych Si	1	UNK
L'Empereur Raych	1	UNK
J'connais	1	UNK
Galactos Ce	1	LOC
Davan Je	1	UNK
Davan Quelqu'un	1	UNK
Seldon Ne	1	LOC
Empereurs Sous	1	UNK
ENCYCLOPAEDIA GALACTICA L'homme	1	ORG
GALACTICA L'homme	1	LOC
Tournez-vous	1	UNK
Raych Il	1	UNK
Là-dessus	1	UNK
Davan Davan	1	UNK
Université S'il	1	LOC
Avais-tu	1	UNK
D'autres	1	UNK
Couverture de Streeling Vous	1	MISC
Streeling Vous	1	LOC
M'dame Quelle	1	UNK
Moi-même	1	UNK
Couverture Peut-être	1	MISC
Amusons-nous Musique A	1	MISC
Musique A	1	UNK
L'opinion	1	UNK
Maire Vous	1	UNK
Large	1	UNK
Maître	1	UNK
N'ayez	1	UNK
Seldon au Congrès	1	MISC
Réfléchissez-y	1	UNK
Collaborez	1	UNK
Renversement THALUS EMMER Sergent	1	MISC
THALUS EMMER Sergent	1	MISC
EMMER Sergent	1	MISC
Seldon à Dors Quel	1	LOC
Quantité	1	UNK
D'accord Je	1	UNK
Contente-toi	1	UNK
Facile	1	MISC
Clin	1	UNK
Insinuez-vous	1	UNK
Qu'une	1	MISC
Ire	1	UNK
Raych A	1	MISC
N'y	1	UNK
Seldon Récemment	1	LOC
L'égalité	1	UNK
Raych J'avais	1	MISC
Z'allez	1	UNK
Maître Seldon Elle	1	MISC
Raych Elle	1	LOC
Venabili Je	1	MISC
Espèce	1	MISC
Avais-je	1	MISC
Splendide	1	MISC
SELDON HARI On	1	MISC
HARI On	1	MISC
GALACTICA Assis	1	MISC
Aurora Mais	1	UNK
Terre Quels	1	LOC
N'êtes-vous	1	UNK
Mycogéniens Alors	1	MISC
Ont-elles	1	UNK
Galaxie Si	1	UNK
Impériaux C'est	1	MISC
Pardonnez-moi Maître Robot	1	UNK
Maître Robot	1	MISC
Première Loi Trois	1	MISC
Loi Trois	1	UNK
Première	1	UNK
Deuxième Loi Mais	1	MISC
Loi Mais	1	UNK
Loi Zéro	1	UNK
Loi Zéro Et	1	MISC
Zéro Et	1	UNK
Qu'entend-on	1	UNK
J'interviendrai	1	UNK
Robotique Modifier	1	UNK
A-til	1	UNK
Fuite TRANTOR	1	MISC
TRANTOR	1	MISC
Empire Galactique C'est	1	LOC
Galactique C'est	1	UNK
ENCYCLOPAEDIA GALACTICA Seldon	1	ORG
GALACTICA Seldon	1	LOC
T'aimes	1	UNK
Marbie C'est	1	MISC
Marbie Sourire	1	MISC
Marbie Et	1	MISC
T'es Trantorien	1	MISC
Trantorien	1	LOC
T'es	1	UNK
Trantorien Tu	1	MISC
Seldon Ils	1	LOC
Hélicon Sans	1	UNK
Capitale	1	LOC
Précaution	1	UNK
Pseudomagnétique	1	UNK
Montez Seldon	1	LOC
L'aérotaxi	1	UNK
Seldon Tout	1	LOC
L'énormité	1	UNK
Galaxie Et	1	UNK
Université UNIVERSITÉ DE STREELING Établissement	1	ORG
UNIVERSITÉ DE STREELING Établissement	1	MISC
STREELING Établissement	1	MISC
Établissement	1	UNK
L'Empire Galactique	1	LOC
Produit-on	1	UNK
J'échouerai Alors	1	UNK
Streeling Streeling D'après	1	UNK
Streeling D'après	1	LOC
Streeling Certains	1	LOC
L'après-midi	1	UNK
Impressionnant J'imagine	1	UNK
Tâche	1	UNK
UNIVERSITÉ DE STREELING MINUTES Nous	1	MISC
STREELING MINUTES Nous	1	MISC
MINUTES Nous	1	MISC
Hélicon Si	1	UNK
Bibliothèque VENABILI DORS Historienne	1	MISC
VENABILI DORS Historienne	1	MISC
Historienne	1	UNK
Cinna Sa	1	MISC
Fuite ENCYLOPEDIA GALACTICA	1	MISC
ENCYLOPEDIA GALACTICA	1	MISC
Pardonnez-moi Hummin	1	MISC
Rappelez-vous	1	UNK
Accordez-moi	1	UNK
Pardonnez-moi Quelle	1	UNK
Neuf	1	UNK
L'Université	1	LOC
Psychohistoire	1	UNK
Universités	1	UNK
Universités C'est	1	UNK
Historienne J'enseignerai	1	MISC
J'enseignerai	1	UNK
J'admets	1	UNK
Qu'est-il	1	UNK
L'avez-vous	1	UNK
Rappelez-vous Demerzel	1	MISC
Streeling Il	1	LOC
Là-bas	1	UNK
Radicales	1	ORG
J'aime	1	UNK
Bizarrement	1	UNK
Jouez-vous	1	UNK
Venabili C'est	1	MISC
Affirmatif L'autre	1	UNK
Guerre	1	MISC
Jennisek	1	LOC
Galaxie Peut-être	1	UNK
L'ensemble	1	UNK
L'histoire	1	UNK
Ç'avait	1	UNK
Couverture TRANTOR Elle	1	MISC
TRANTOR Elle	1	MISC
Randa Dors	1	UNK
Parlez-moi	1	UNK
Leggen Vous	1	ORG
Couverture L'idée	1	MISC
Couverture Ce	1	MISC
Seldon Ici	1	LOC
Couverture Froid	1	MISC
Froid	1	UNK
Dommage	1	UNK
Seldon Fait	1	MISC
Leggen Par	1	LOC
PERSONNEL OFFICIEL C'est	1	UNK
OFFICIEL C'est	1	UNK
Allez-y J'ai	1	MISC
Hélicon Dehors	1	UNK
Clowzia Je	1	LOC
Couverture Pourquoi	1	MISC
Allaient-ils	1	UNK
L'engin	1	UNK
Clowzia Elle	1	LOC
Couverture Elle	1	MISC
L'entendrait-on	1	UNK
Nouvelle	1	UNK
Sauvetage LEGGEN JENARR Ses	1	MISC
LEGGEN JENARR Ses	1	ORG
Courant	1	UNK
L'appareillage	1	UNK
L'impact	1	ORG
Perplexité de Benastra	1	UNK
Allez-y Tous	1	UNK
L'écran	1	UNK
J'arrive	1	UNK
Couverture Leggen	1	MISC
Suivez-moi Je	1	UNK
Leggen Ça	1	MISC
Donnez-moi	1	MISC
Soulevez-le	1	UNK
Souvenez-vous-en Inutile	1	UNK
Hari J'ai	1	MISC
L'heure	1	UNK
Excusez-moi Puisque	1	UNK
Détendez-vous	1	UNK
L'argent	1	UNK
Docteur Venabili	1	MISC
ENCYCLOPAEDIA GALACTICA Quand Seldon	1	LOC
GALACTICA Quand Seldon	1	LOC
Leggen Était-il	1	LOC
Était-il	1	UNK
Seldon Oui Vous	1	MISC
Couverture Parce	1	MISC
S'est-il	1	UNK
Leggen Hummin	1	MISC
Est-il	1	UNK
Seldon Pas	1	MISC
Nord Et	1	LOC
Leggen Toutefois	1	LOC
Faites-vous	1	UNK
L'important	1	UNK
Ceux-ci	1	UNK
Hélicon Guère Hélicon	1	MISC
Maître-du-Soleil MAÎTRE-DU-SOLEIL QUATORZE L'un	1	LOC
MAÎTRE-DU-SOLEIL QUATORZE L'un	1	MISC
Fuite ENCYCLOPAEDIA GALACTICA Il	1	UNK
ENCYCLOPAEDIA GALACTICA Il	1	LOC
GALACTICA Il	1	LOC
Exos Pas	1	UNK
Levanian Certaines	1	ORG
Allons-nous	1	MISC
Levanian Oui	1	LOC
Rares	1	UNK
Maître-du-Soleil Quatorze Maître-du-Soleil	1	LOC
Fraternité Très	1	UNK
Mettez-la	1	UNK
Seldon Cela	1	LOC
Lugubre	1	UNK
Égalitaire	1	UNK
Maître-duSoleil	1	UNK
Maître-duSoleil Ce	1	UNK
L'espace	1	UNK
Peuh	1	UNK
Maîtredu-Soleil	1	UNK
Grisnuage Ça	1	UNK
Grisnuage C'est	1	UNK
Sœurs Je	1	UNK
Grisnuage Nous	1	UNK
Gouttes	1	UNK
Goutte-dePluie	1	UNK
Quarante-trois Vous	1	UNK
Seldon Toutes	1	LOC
L'aînée	1	UNK
Quarantecinq Nous	1	UNK
Quarante-trois Nous	1	UNK
Microferme MYCOGÈNE	1	UNK
ENCYCLOPAEDIA GALACTICA C'était	1	LOC
GALACTICA C'était	1	LOC
Seldon Nettement	1	LOC
Grisnuage Dors	1	MISC
N'oubliez	1	UNK
Trantoriens Évidemment	1	LOC
Seldon L'excuse	1	MISC
L'excuse	1	UNK
Surnaturaliste Oui Avez-vous	1	MISC
L'évidence	1	UNK
Religieuse Oui C'est	1	UNK
Religieux	1	LOC
Pressez	1	UNK
D'ordinaire	1	UNK
Balivernes Je	1	LOC
Sœur Puis	1	UNK
L'odeur Que	1	UNK
Pourrais-je	1	MISC
FFrère Prends-en	1	MISC
Prends-en	1	UNK
Plateaux	1	LOC
Empire Galactique	1	LOC
